day,country,cases,cum,day_count
16/03/2020,China,25,71020,77
15/03/2020,China,22,70995,76
14/03/2020,China,19,70973,75
13/03/2020,China,22,70954,74
12/03/2020,China,24,70932,73
11/03/2020,China,29,70908,72
10/03/2020,China,20,70879,71
09/03/2020,China,45,70859,70
08/03/2020,China,46,70814,69
07/03/2020,China,101,70768,68
06/03/2020,China,170,70667,67
05/03/2020,China,117,70497,66
04/03/2020,China,119,70380,65
03/03/2020,China,127,70261,64
02/03/2020,China,205,70134,63
01/03/2020,China,574,69929,62
29/02/2020,China,428,69355,61
28/02/2020,China,329,68927,60
27/02/2020,China,439,68598,59
26/02/2020,China,410,68159,58
25/02/2020,China,515,67749,57
24/02/2020,China,218,67234,56
23/02/2020,China,647,67016,55
22/02/2020,China,826,66369,54
21/02/2020,China,891,65543,53
20/02/2020,China,394,64652,52
19/02/2020,China,1750,64258,51
18/02/2020,China,1890,62508,50
17/02/2020,China,2052,60618,49
16/02/2020,China,2007,58566,48
15/02/2020,China,2538,56559,47
14/02/2020,China,4156,54021,46
13/02/2020,China,5141,49865,45
12/02/2020,China,2028,44724,44
11/02/2020,China,2490,42696,43
10/02/2020,China,2974,40206,42
09/02/2020,China,2607,37232,41
08/02/2020,China,3418,34625,40
07/02/2020,China,3160,31207,39
06/02/2020,China,3727,28047,38
05/02/2020,China,3872,24320,37
04/02/2020,China,3237,20448,36
03/02/2020,China,2812,17211,35
02/02/2020,China,2590,14399,34
01/02/2020,China,2095,11809,33
31/01/2020,China,1980,9714,32
30/01/2020,China,1740,7734,31
29/01/2020,China,1466,5994,30
28/01/2020,China,1753,4528,29
27/01/2020,China,787,2775,28
26/01/2020,China,665,1988,27
25/01/2020,China,441,1323,26
24/01/2020,China,259,882,25
23/01/2020,China,97,623,24
22/01/2020,China,140,526,23
21/01/2020,China,151,386,22
20/01/2020,China,19,235,21
19/01/2020,China,136,216,20
18/01/2020,China,17,80,19
17/01/2020,China,4,63,18
16/01/2020,China,0,59,17
15/01/2020,China,0,59,16
14/01/2020,China,0,59,15
13/01/2020,China,0,59,14
12/01/2020,China,0,59,13
11/01/2020,China,0,59,12
10/01/2020,China,0,59,11
09/01/2020,China,0,59,10
08/01/2020,China,0,59,9
07/01/2020,China,0,59,8
06/01/2020,China,0,59,7
05/01/2020,China,15,59,6
04/01/2020,China,0,44,5
03/01/2020,China,17,44,4
02/01/2020,China,0,27,3
01/01/2020,China,0,27,2
31/12/2019,China,27,27,1
